code,symbol,isin,company,ldate,faceval
1,GREENPANEL,INE08ZM01014,Greenpanel Industries Limited,23-Oct-19,1
2,FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Limited,16-Oct-19,1
3,VISHWARAJ,INE430N01014,Vishwaraj Sugar Industries Limited,15-Oct-19,10
4,IRCTC,INE335Y01012,Indian Railway Catering And Tourism Corporation Limited,14-Oct-19,10
5,AKASH,INE737W01013,Akash Infra-Projects Limited,11-Oct-19,10
6,IIFLSEC,INE489L01022,IIFL Securities Limited,20-Sep-19,2
7,IIFLWAM,INE466L01020,Iifl Wealth Management Limited,19-Sep-19,2
8,SAFARI,INE429E01023,Safari Industries (India) Limited,12-Sep-19,2
9,KRISHANA,INE506W01012,Krishana Phoschem Limited,22-Aug-19,10
10,MBAPL,INE900L01010,Madhya Bharat Agro Products Limited,22-Aug-19,10
11,SWSOLAR,INE00M201021,Sterling And Wilson Solar Limited,20-Aug-19,1
12,VIKASPROP,INE767B01022,Vikas Proppant & Granite Limited,19-Aug-19,1
13,VISHAL,INE755Q01025,Vishal Fabrics Limited,19-Aug-19,5
14,DOLAT,INE966A01022,Dolat Investments Limited,19-Aug-19,1
15,WESTLIFE,INE274F01020,Westlife Development Ltd,19-Aug-19,2
16,ZOTA,INE358U01012,Zota Health Care LImited,19-Aug-19,10
17,SPANDANA,INE572J01011,Spandana Sphoorty Financial Limited,19-Aug-19,10
18,JIYAECO,INE023S01016,Jiya Eco-Products Limited,19-Aug-19,10
19,JUMPNET,INE974C01022,Jump Networks Limited,19-Aug-19,5
20,HNDFDS,INE254N01018,Hindustan Foods Limited,19-Aug-19,10
21,BCP,INE905P01028,B.C. Power Controls Ltd,19-Aug-19,2
22,AFFLE,INE00WC01019,Affle (India) Limited,8-Aug-19,10
23,CREATIVE,INE985W01018,Creative Peripherals and Distribution Limited,5-Aug-19,10
24,SHRENIK,INE632X01022,Shrenik Limited,2-Aug-19,2
25,SUMIT,INE748Z01013,Sumit Woods Limited,30-Jul-19,10
26,LIBAS,INE908V01012,Libas Designs Limited,23-Jul-19,10
27,LIBAS,INE908V01012,Libas Designs Limited,23-Jul-19,10
28,GFSTEELS,INE534A01028,Grand Foundry Limited,22-Jul-19,4
29,SIRCA,INE792Z01011,Sirca Paints India Limited,22-Jul-19,10
30,SATIA,INE170E01023,Satia Industries Limited,17-Jul-19,1
31,DCMNVL,INE08KP01019,DCM Nouvelle Limited,16-Jul-19,10
32,INFOBEAN,INE344S01016,InfoBeans Technologies Limited,15-Jul-19,10
33,SANGINITA,INE753W01010,Sanginita Chemicals Limited,15-Jul-19,10
34,SEYAIND,INE573R01012,Seya Industries Limited,11-Jul-19,10
35,OAL,INE959C01023,Oriental Aromatics Limited,11-Jul-19,5
36,INDIAMART,INE933S01016,Indiamart Intermesh Limited,4-Jul-19,10
37,STEELCITY,INE395H01011,Steel City Securities Limited,27-Jun-19,10
