code,company,industry,symbol,series,isinCode
1,3M India Ltd.,SERVICES,3MINDIA,EQ,INE470A01017
2,ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025
3,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
4,APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01019
5,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017
6,Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,EQ,INE216P01012
7,Abbott India Ltd.,PHARMA,ABBOTINDIA,EQ,INE358A01014
8,Adani Gas Ltd.,ENERGY,ADANIGAS,EQ,INE399L01023
9,Adani Green Energy Ltd.,ENERGY,ADANIGREEN,EQ,INE364U01010
10,Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042
11,Adani Power Ltd.,ENERGY,ADANIPOWER,EQ,INE814H01011
12,Adani Transmission Ltd.,ENERGY,ADANITRANS,EQ,INE931S01010
13,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013
14,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011
15,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
16,Aegis Logistics Ltd.,ENERGY,AEGISCHEM,EQ,INE208C01025
17,Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
18,Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,EQ,INE133A01011
19,Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
20,Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014
21,Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
22,Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029
23,Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
24,Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
25,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024
26,Andhra Bank,FINANCIAL SERVICES,ANDHRABANK,EQ,INE434A01013
27,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024
28,Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
29,Arvind Fashions Ltd.,CONSUMER GOODS,ARVINDFASN,EQ,INE955V01021
30,Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029
31,Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
32,Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026
33,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019
34,AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020
35,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
36,Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
37,Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
38,Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
39,Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011
40,Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034
41,BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
42,BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
43,BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
44,Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010
45,Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,EQ,INE933K01021
46,Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
47,Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024
48,Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018
49,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012
50,Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
51,Balmer Lawrie & Co. Ltd.,SERVICES,BALMLAWRIE,EQ,INE164A01016
52,Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
53,Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014
54,Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039
55,Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
56,Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,EQ,INE457A01014
57,Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
58,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,EQ,INE462A01022
59,Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038
60,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01018
61,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
62,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025
63,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026
64,Bharat Petroleum Corporation Ltd.,ENERGY,BPCL,EQ,INE029A01011
65,Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024
66,Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017
67,Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
68,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
69,Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
70,Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,EQ,INE416D01022
71,Blue Dart Express Ltd.,SERVICES,BLUEDART,EQ,INE233B01017
72,Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
73,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
74,Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,EQ,INE032A01023
75,Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026
76,Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
77,Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030
78,CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013
79,CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022
80,CESC Ltd.,ENERGY,CESC,EQ,INE486A01013
81,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
82,CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,EQ,INE007A01025
83,Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
84,Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
